logth logp DY Brem
-7.075 2.825 0.0 3.64091e-06
-7.075 2.875 0.0 4.5832e-06
-7.075 2.925 0.0 5.76929e-06
-7.075 2.975 0.0 7.26226e-06
-7.075 3.025 0.0 9.14146e-06
-7.075 3.075 0.0 1.15068e-05
-7.075 3.125 0.0 1.44839e-05
-7.075 3.175 0.0 1.8231e-05
-7.075 3.225 0.0 2.29471e-05
-7.075 3.275 0.0 2.88828e-05
-7.075 3.325 0.0 3.63533e-05
-7.075 3.375 0.0 4.57552e-05
-7.075 3.425 0.0 5.75878e-05
-7.075 3.475 0.0 7.24795e-05
-7.075 3.525 0.0 9.12212e-05
-7.075 3.575 0.0 0.000114809
-7.075 3.625 0.0 0.000144496
-7.075 3.675 0.0 0.000181863
-7.075 3.725 0.0 0.0002289
-7.075 3.775 0.0 0.000288119
-7.075 3.825 0.0 0.000362693
-7.075 3.875 0.0 0.000456631
-7.075 3.925 0.0 0.000575017
-7.075 3.975 0.0 0.000724312
-7.075 4.025 0.0 0.000912759
-7.075 4.075 0.0 0.00115094
-7.075 4.125 0.0 0.00145255
-7.075 4.175 0.0 0.00183552
-7.075 4.225 0.0 0.00232371
-7.075 4.275 0.0 0.00294966
-7.075 4.325 4077.24 0.00375927
-7.075 4.375 0.0 0.00482041
-7.075 4.425 0.0 0.00624031
-7.075 4.475 0.0 0.00820376
-7.075 4.525 4077.24 0.0110667
-7.075 4.575 0.0 0.0156137
-7.075 4.625 0.0 0.0238576
-7.075 4.675 0.0 0.0412903
-7.075 4.725 0.0 0.0
-7.075 4.775 0.0 0.0
-7.075 4.825 0.0 0.0
-7.075 4.875 0.0 0.0
-7.075 4.925 0.0 0.0
-7.075 4.975 0.0 0.0
-7.025 -1.975 0.0 0.0
-7.025 -1.925 0.0 0.0
-7.025 -1.875 0.0 0.0
-7.025 -1.825 0.0 0.0
-7.025 -1.775 0.0 0.0
-7.025 -1.725 0.0 0.0
-7.025 -1.675 0.0 0.0
-7.025 -1.625 0.0 0.0
-7.025 -1.575 0.0 0.0
-7.025 -1.525 0.0 0.0
-7.025 -1.475 0.0 0.0
-7.025 -1.425 0.0 0.0
-7.025 -1.375 0.0 0.0
-7.025 -1.325 0.0 0.0
