logth logp Brem_QRA_L2.0 Brem_FWW Brem_QRA_L1.0 Brem_QRA_L1.5
-7.375 1.375 9.877845296329361e-10 5.980259946416156e-05 3.859951021874112e-12 9.891648038585953e-11
-7.375 1.425 1.97397691633779e-09 7.529135354170757e-05 7.714417119240863e-12 1.976872883603477e-10
-7.375 1.475 3.945463876991931e-09 9.478944208206016e-05 1.5420959587332073e-11 3.9515989744643015e-10
-7.375 1.525 7.887470253374404e-09 0.00011933449810161415 3.08330844702279e-11 7.900609244251858e-10
-7.375 1.575 1.577135519918398e-08 0.00015023260570779185 6.166395283920137e-11 1.579983148812875e-09
-7.375 1.625 3.1542799599085035e-08 0.0001891277078750988 1.23358022730259e-10 3.1605312993415726e-09
-7.375 1.675 6.310154559106765e-08 0.00023808893759411128 2.468535486992241e-10 6.324063839897816e-09
-7.375 1.725 1.262690681858272e-07 0.0002997204896000984 4.941549705558223e-10 1.2658283913909147e-08
-7.375 1.775 2.5274332848958846e-07 0.00037729983342079906 9.895925367785197e-10 2.5346092557976406e-08
-7.375 1.825 5.060532277913643e-07 0.0004749515521880598 1.9826161979980504e-09 5.07716426282759e-08
-7.375 1.875 1.0135694712249608e-06 0.000597865949873655 3.974033402312257e-09 1.017473463001955e-07
-7.375 1.925 2.0307529281725597e-06 0.000752573894047555 7.970010331167753e-09 2.0400250751837015e-07
-7.375 1.975 4.070144432494009e-06 0.0009472922644400589 1.5993631049541824e-08 4.0924029947025867e-07
-7.375 2.025 8.160391061828936e-06 0.001192357996565569 3.2116260833924985e-08 8.214337845475141e-07
-7.375 2.075 1.636645344683337e-05 0.0015007732097115194 6.453929562506695e-08 1.6498305978941756e-06
-7.375 2.125 3.283427547636905e-05 0.0018888894863341042 1.2980137045911944e-07 3.3158904140038896e-06
-7.375 2.175 6.588801589067943e-05 0.002377266254771284 2.612928468659545e-07 6.6692307065338305e-06
-7.375 2.225 0.0001322376325534185 0.002991746679379297 5.265131414715516e-07 1.3424098595629728e-05
-7.375 2.275 0.00026541104500531004 0.0037648047638625982 1.0621048584337624e-06 2.7042344400196322e-05
-7.375 2.325 0.0005326233675815268 0.0047372298078042 2.14510019581319e-06 5.452106899543107e-05
-7.375 2.375 0.0010684389674750837 0.00596022916516507 4.338077308198621e-06 0.00011001416430788663
-7.375 2.425 0.0021416973076525446 0.007498047559757849 8.785474142479671e-06 0.00022217201252720074
-7.375 2.475 0.004287891467853825 0.009431220883293009 1.7819683678876977e-05 0.0004490172840782837
-7.375 2.525 0.008569166514199452 0.011860603813902302 3.620332496121733e-05 0.000908080004567931
-7.375 2.575 0.01708008185358611 0.014912332247339136 7.368057330932933e-05 0.0018373696572201077
-7.375 2.625 0.03391877314155802 0.01874390042353728 0.0001502269711518527 0.0037184604174450723
-7.375 2.675 0.06701967879026668 0.023551543248784192 0.00030686992605577805 0.007524046396906562
-7.375 2.725 0.13153305685287878 0.029579107108286696 0.0006280195147705779 0.015213017794581842
-7.375 2.775 0.2558678641927641 0.0371285515607055 0.0012875832234024822 0.030712281520866698
